Code_Sp,famille,genre,espece,nom_total,Alimentation,groupe_troph1,groupe_troph2,taille_classe,mobilite,gregarite,taille_moy,taille max,nycthem,comportement,crypticite,niveau_colonne,couleur,pattern_livree,forme,dimorph_sexuel,commercial,commercial_2,Commercial PROCFISH,cible_VKP,a,b,niveau_a_b,Up_Date_SOP
206,MEGALOPIDAE,Megalops,cyprinoides,Megalops_cyprinoides,p,P,P,6,4,3,60,100,b,s,nc,h,s,u,c,a,a,nc,non,0,0.012224814,3.032756806,sp
214,ALBULIDAE,Albula,sp,Albula_sp,c1,C,C,6,3,3,50,90,d,s,nc,b,s,u,c,a,m,c,non,1,0.029678577,2.779862675,sp
215,ALBULIDAE,Albula,neoguinecus,Albula_neoguinecus,c1,C,C,6,3,3,50,90,d,s,nc,b,s,u,a,a,m,c,non,0,0.020480311,2.869382824,genus
220,MORINGUIDAE,Moringua,ferruginea,Moringua_ferruginea,c1,C,C,6,1,1,70,140,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
222,MORINGUIDAE,Moringua,javanica,Moringua_javanica,c1,C,C,6,1,1,70,120,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
224,MORINGUIDAE,Moringua,sp,Moringua_sp,c1,C,C,0,1,1,,,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
240,XENOCONGRIDAE,Kaupichthys,diodontus,Kaupichthys_diodontus,p,P,P,2,1,1,12,10,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
242,XENOCONGRIDAE,Kaupichthys,hyoproroides,Kaupichthys_hyoproroides,p,P,P,3,1,1,20,20,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
244,XENOCONGRIDAE,Kaupichthys,sp,Kaupichthys_sp,p,P,P,3,1,1,,30,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
258,MURAENIDAE,Muraenidae,sp,Muraenidae_sp,p,P,P,0,2,1,,,n,n,vc,b,X,X,a,a,a,nc,oui,0,0.004653585,2.613511331,famille
260,MURAENIDAE,Anarchias,seychellensis,Anarchias_seychellensis,p-c1,P,P,3,2,1,20,30,n,n,vc,b,c,m,a,a,a,nc,oui,0,0.004653585,2.613511331,famille
262,MURAENIDAE,Anarchias,sp,Anarchias_sp,c1,C,C,3,2,1,20,30,n,n,vc,b,X,X,a,a,a,nc,oui,0,0.004653585,2.613511331,famille
276,MURAENIDAE,Echidna,nebulosa,Echidna_nebulosa,c1,C,C,5,2,1,40,75,n,n,vc,b,c,m,a,a,a,nc,oui,0,0.000282055,3.351610784,genus
