Id,St,T,Site,Client,Geom1,Geom2,N_Impact,Cote,Lieu,Utilise analyse,Profondeur,X,Y,,,,,,,,,,
ADECAL_TOUHO_09_2015_REF_T03,REF,T03,TOUHO,ADECAL,Récif frangeant,RF,Référence,Est,Touho,Oui,,320683,380726,,,,,,,,,,
ADECAL_TOUHO_09_2015_REF_T04,REF,T04,TOUHO,ADECAL,Récif frangeant,RF,Référence,Est,Touho,Oui,,320683,380726,,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_T01,IRD01,T01,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461032,7678989,,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_T03,IRD01,T03,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461032,7678989,,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_T05,IRD01,T05,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461032,7678989,,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_T07,IRD01,T07,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461032,7678989,,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_T09,IRD01,T09,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461032,7678989,,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_T01,IRD37,T01,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462423,7680689,,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_T03,IRD37,T03,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462423,7680689,,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_T05,IRD37,T05,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462423,7680689,,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_T07,IRD37,T07,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462423,7680689,,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_T09,IRD37,T09,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462423,7680689,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_T01,KNS04,T01,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,462482,7677721,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_T03,KNS04,T03,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,462482,7677721,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_T05,KNS04,T05,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,462482,7677721,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_T07,KNS04,T07,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,462482,7677721,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_T09,KNS04,T09,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,462482,7677721,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_T01,KNS05,T01,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Non,,453450,7678481,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_T03,KNS05,T03,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Non,,453450,7678481,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_T05,KNS05,T05,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Non,,453450,7678481,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_T07,KNS05,T07,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Non,,453450,7678481,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_T09,KNS05,T09,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Non,,453450,7678481,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_T01,KNS06,T01,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,460296,7671773,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_T03,KNS06,T03,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,460296,7671773,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_T05,KNS06,T05,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,460296,7671773,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_T07,KNS06,T07,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,460296,7671773,,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_T09,KNS06,T09,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,460296,7671773,,,,,,,,,,
KNS_KONIAMBO_05_2007_LG1B_T01,LG1B,T01,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,463779,7679392,,,,,,,,,,
KNS_KONIAMBO_05_2007_LG1B_T03,LG1B,T03,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,463779,7679392,,,,,,,,,,
KNS_KONIAMBO_05_2007_LG1B_T05,LG1B,T05,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,463779,7679392,,,,,,,,,,
KNS_KONIAMBO_05_2007_LG1B_T07,LG1B,T07,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,463779,7679392,,,,,,,,,,
KNS_KONIAMBO_05_2007_LG1B_T09,LG1B,T09,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,463779,7679392,,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_T01,LG6B,T01,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461899,7678862,,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_T03,LG6B,T03,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461899,7678862,,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_T05,LG6B,T05,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461899,7678862,,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_T07,LG6B,T07,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461899,7678862,,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_T09,LG6B,T09,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461899,7678862,,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_T01,OF2C,T01,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,458948,7675773,,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_T03,OF2C,T03,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,458948,7675773,,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_T05,OF2C,T05,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,458948,7675773,,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_T07,OF2C,T07,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,458948,7675773,,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_T09,OF2C,T09,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,458948,7675773,,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_T01,OF4C,T01,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,456662,7677565,,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_T03,OF4C,T03,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,456662,7677565,,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_T05,OF4C,T05,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,456662,7677565,,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_T07,OF4C,T07,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,456662,7677565,,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_T09,OF4C,T09,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,456662,7677565,,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_T01,PV3B,T01,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,463770,7677127,,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_T03,PV3B,T03,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,463770,7677127,,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_T05,PV3B,T05,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,463770,7677127,,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_T07,PV3B,T07,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,463770,7677127,,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_T09,PV3B,T09,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,463770,7677127,,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_T01,CLC2,T01,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Koné,Oui,,466328,7668927,,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_T03,CLC2,T03,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Koné,Oui,,466328,7668927,,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_T05,CLC2,T05,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Koné,Oui,,466328,7668927,,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_T07,CLC2,T07,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Koné,Oui,,466328,7668927,,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_T09,CLC2,T09,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Koné,Oui,,466328,7668927,,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_T01,IBR2B,T01,KONIAMBO,KNS,Récif barrière interne,RBI,Impact,Ouest,Voh,Non,,459892,7674930,,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_T03,IBR2B,T03,KONIAMBO,KNS,Récif barrière interne,RBI,Impact,Ouest,Voh,Non,,459892,7674930,,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_T05,IBR2B,T05,KONIAMBO,KNS,Récif barrière interne,RBI,Impact,Ouest,Voh,Non,,459892,7674930,,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_T07,IBR2B,T07,KONIAMBO,KNS,Récif barrière interne,RBI,Impact,Ouest,Voh,Non,,459892,7674930,,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_T09,IBR2B,T09,KONIAMBO,KNS,Récif barrière interne,RBI,Impact,Ouest,Voh,Non,,459892,7674930,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_T01,IRD01,T01,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461032,7678989,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_T03,IRD01,T03,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461032,7678989,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_T05,IRD01,T05,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461032,7678989,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_T07,IRD01,T07,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461032,7678989,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_T09,IRD01,T09,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,461032,7678989,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_T01,IRD23,T01,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Non,,461899,7675140,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_T03,IRD23,T03,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Non,,461899,7675140,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_T05,IRD23,T05,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Non,,461899,7675140,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_T07,IRD23,T07,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Non,,461899,7675140,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_T09,IRD23,T09,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Non,,461899,7675140,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_T01,IRD24,T01,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,460910,7675877,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_T03,IRD24,T03,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,460910,7675877,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_T05,IRD24,T05,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,460910,7675877,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_T07,IRD24,T07,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,460910,7675877,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_T09,IRD24,T09,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,460910,7675877,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_T01,IRD37,T01,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462423,7680689,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_T03,IRD37,T03,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462423,7680689,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_T05,IRD37,T05,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462423,7680689,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_T07,IRD37,T07,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462423,7680689,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_T09,IRD37,T09,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462423,7680689,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD57_T01,IRD57,T01,KONIAMBO,KNS,Récif barrière interne,RBI,Impact,Ouest,Koné,Oui,,470025,7662473,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD57_T03,IRD57,T03,KONIAMBO,KNS,Récif barrière interne,RBI,Impact,Ouest,Koné,Oui,,470025,7662473,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD57_T05,IRD57,T05,KONIAMBO,KNS,Récif barrière interne,RBI,Impact,Ouest,Koné,Oui,,470025,7662473,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD57_T07,IRD57,T07,KONIAMBO,KNS,Récif barrière interne,RBI,Impact,Ouest,Koné,Oui,,470025,7662473,,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD57_T09,IRD57,T09,KONIAMBO,KNS,Récif barrière interne,RBI,Impact,Ouest,Koné,Oui,,470025,7662473,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS04_T01,KNS04,T01,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,462482,7677721,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS04_T03,KNS04,T03,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,462482,7677721,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS04_T05,KNS04,T05,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,462482,7677721,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS04_T07,KNS04,T07,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,462482,7677721,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS04_T09,KNS04,T09,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Voh,Oui,,462482,7677721,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS05_T01,KNS05,T01,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Non,,453450,7678481,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS05_T03,KNS05,T03,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Non,,453450,7678481,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS05_T05,KNS05,T05,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Non,,453450,7678481,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS05_T07,KNS05,T07,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Non,,453450,7678481,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS05_T09,KNS05,T09,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Non,,453450,7678481,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS06_T01,KNS06,T01,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,460296,7671773,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS06_T03,KNS06,T03,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,460296,7671773,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS06_T05,KNS06,T05,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,460296,7671773,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS06_T07,KNS06,T07,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,460296,7671773,,,,,,,,,,
KNS_KONIAMBO_05_2008_KNS06_T09,KNS06,T09,KONIAMBO,KNS,Récif barrière externe,RBE,Impact,Ouest,Voh,Oui,,460296,7671773,,,,,,,,,,
KNS_KONIAMBO_05_2008_KO4_T01,KO4,T01,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Koné,Non,,470987,7664450,,,,,,,,,,
KNS_KONIAMBO_05_2008_KO4_T03,KO4,T03,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Koné,Non,,470987,7664450,,,,,,,,,,
KNS_KONIAMBO_05_2008_KO4_T05,KO4,T05,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Koné,Non,,470987,7664450,,,,,,,,,,
KNS_KONIAMBO_05_2008_KO4_T07,KO4,T07,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Koné,Non,,470987,7664450,,,,,,,,,,
