Mytilidae 
Arcidae 
Tridacnidae 
Pteriidae 
Placunidae 
Muricidae 
Turbinidae 
Strombidae 
Fasciolariidae 
Trochidae
Conidae
Vermetidae
Columbellidae
Phyllidiidae
Cymatiidae
Cerithiidae
Diogenidae
Trapeziidae
Rhynchocinetidae
Xanthidae
Alpheidae
Holothuriidae
Synaptidae
Stichopodidae
Ophidiasteridae
Echinasteridae
Acanthasteridae
Oreasteridae
Comasteridae
Colobometridae
Himerometridae
Echinometridae
Parasaleniidae
Diadematidae
Cidaridae
Ophiocomidae
Ophiotrichidae
Ophiodermatidae
